Date	Amount
6/27/2000	178.277
6/28/2000	177.421
6/29/2000	177.6869
6/30/2000	174.903
7/1/2000	174.00
7/3/2000	175.6979
7/4/2000	176.52
7/5/2000	175.22
7/6/2000	174.7752
7/7/2000	176.20
7/10/2000	175.83
7/11/2000	175.37
7/12/2000	175.36
7/13/2000	177.65
7/14/2000	179.1215
7/17/2000	178.487
7/18/2000	178.679
7/19/2000	180.952
7/20/2000	181.248
7/21/2000	178.832
7/24/2000	179.121
7/25/2000	178.583
7/26/2000	177.29
7/27/2000	178.257
7/28/2000	180.383
7/31/2000	181.149
8/1/2000	180.972
8/2/2000	182.60
8/3/2000	182.821
8/4/2000	185.346
8/7/2000	184.565
8/8/2000	184.955
8/9/2000	186.615
8/10/2000	185.367
8/11/2000	184.055
8/14/2000	185.429
8/16/2000	184.36
8/17/2000	183.1436
8/18/2000	182.56
8/21/2000	185.16
8/22/2000	185.70
8/23/2000	187.67
8/24/2000	185.88
8/25/2000	185.26
8/28/2000	185.39
8/29/2000	185.91
8/30/2000	188.3046
8/31/2000	187.2451
9/1/2000	188.41
